pts,reb,ast,net_rating,usg_pct,ast_pct,was_mvp
17.0,7.0,2.0,-7.0,0.239,0.098,0
1.6,1.3,0.0,-42.0,0.233,0.0,0
15.8,3.8,5.7,-4.3,0.235,0.28300000000000003,0
12.4,3.9,4.4,0.3,0.194,0.227,0
0.7,1.0,0.7,0.6,0.109,0.153,0
9.8,2.6,2.0,3.7,0.17600000000000002,0.103,0
20.0,10.6,3.4,13.7,0.279,0.182,0
11.5,8.8,1.3,0.6,0.179,0.066,0
18.7,11.8,1.4,2.3,0.237,0.07400000000000001,0
4.4,3.9,0.2,-2.7,0.152,0.029,0
1.7,1.3,0.3,-9.3,0.249,0.114,0
4.2,3.2,0.3,-6.0,0.196,0.051,0
12.4,7.0,1.4,-4.7,0.245,0.1,0
3.4,1.8,0.3,-4.1,0.111,0.031,0
6.7,6.0,1.1,1.2,0.14300000000000002,0.077,0
1.2,1.7,0.1,1.6,0.138,0.038,0
8.5,4.5,0.5,3.3,0.201,0.045,0
5.3,5.3,0.5,-1.2,0.123,0.031,0
7.8,1.7,4.3,-4.9,0.152,0.31,0
4.4,2.7,0.8,-6.8,0.129,0.067,0
11.3,1.8,5.0,2.4,0.197,0.271,0
3.3,2.7,0.1,-1.9,0.184,0.019,0
2.2,0.8,0.9,-3.2,0.189,0.165,0
3.3,1.1,1.9,-3.5,0.122,0.185,0
6.0,2.6,1.1,-0.3,0.158,0.101,0
2.4,2.0,0.1,15.3,0.15,0.019,0
17.5,2.5,3.0,-0.4,0.28300000000000003,0.193,0
5.7,1.2,0.7,-8.4,0.158,0.063,0
8.0,2.3,4.7,-12.2,0.166,0.28,0
22.3,8.7,2.6,7.8,0.282,0.123,0
5.5,4.8,0.6,2.7,0.193,0.063,0
1.7,1.2,0.2,1.2,0.246,0.07400000000000001,0
9.7,3.7,1.9,1.0,0.203,0.127,0
0.0,1.0,0.0,-64.4,0.3,0.0,0
14.4,5.4,2.1,-4.2,0.205,0.098,0
13.2,1.9,3.1,-1.9,0.228,0.196,0
7.8,3.7,1.4,0.4,0.13,0.07200000000000001,0
6.7,3.3,0.4,-3.4,0.201,0.034,0
17.5,4.9,6.8,6.7,0.224,0.318,0
10.9,1.7,1.9,4.4,0.16899999999999998,0.101,0
4.7,4.6,1.4,5.9,0.103,0.094,0
2.2,2.5,1.5,0.2,0.07,0.135,0
2.1,1.2,1.0,2.0,0.129,0.15,0
5.1,2.1,1.0,-6.5,0.246,0.138,0
9.5,12.4,0.9,-0.9,0.122,0.04,0
14.7,5.3,3.0,7.8,0.188,0.14,0
6.3,1.6,0.9,-6.8,0.179,0.1,0
7.9,2.1,1.3,-1.5,0.185,0.098,0
1.7,1.0,0.4,-4.4,0.161,0.1,0
3.4,1.3,0.4,-2.8,0.136,0.053,0
3.3,1.1,0.6,-3.8,0.16399999999999998,0.104,0
17.6,7.2,2.0,0.0,0.23,0.097,0
1.9,1.7,0.5,9.6,0.112,0.1,0
2.0,0.8,0.2,-4.6,0.18,0.062,0
1.5,4.5,0.4,1.4,0.065,0.03,0
6.1,1.8,3.3,-7.3,0.243,0.388,0
13.6,3.6,4.5,2.2,0.206,0.211,0
5.5,3.6,0.5,4.0,0.177,0.058,0
3.7,0.8,1.3,13.8,0.194,0.202,0
18.2,5.4,2.4,7.2,0.207,0.104,0
6.1,2.0,0.5,4.9,0.161,0.054000000000000006,0
4.0,2.3,0.7,-4.5,0.153,0.118,0
4.4,1.0,2.3,-8.1,0.225,0.378,0
3.9,1.5,4.2,-4.7,0.165,0.403,0
2.9,1.2,0.8,-6.0,0.111,0.083,0
8.6,1.8,2.8,-1.9,0.151,0.151,0
13.0,8.1,1.0,-2.6,0.201,0.06,0
4.5,0.7,2.8,-3.2,0.18600000000000005,0.295,0
14.1,6.3,2.1,-6.7,0.258,0.138,0
1.1,1.8,0.2,-10.9,0.14400000000000002,0.051,0
0.6,0.8,0.0,-23.7,0.185,0.0,0
2.2,1.6,0.6,2.6,0.115,0.077,0
